title;price;square_meters;price_per_m2;location;link;first_photo;processing_date;bathrooms;rooms
Venta De Fraccion De 16 Has En Tristan Suarez Con Excelente Ubicación - Ezeiza;1250000.0;160000;7.8125;Baradero, Monte Grande, Esteban Ec...;https://inmueble.mercadolibre.com.ar/MLA-918524066-venta-de-fraccion-de-16-has-en-tristan-suarez-con-excelente-ubicacion-ezeiza-_JM#position=27&search_layout=grid&type=item&tracking_id=c165c15f-9b89-4557-aa83-c463359173f8;https://http2.mlstatic.com/D_NQ_NP_860131-MLA45757994333_042021-W.jpg;2023-10-19;;
Terreno - Monte Grande, Esteban Echeverria, Zona Sur;180000.0;16200;11.11111111111111;Dolores 2701, Monte Grande, Esteba...;https://terreno.mercadolibre.com.ar/MLA-1130806995-terreno-monte-grande-esteban-echeverria-zona-sur-_JM#position=12&search_layout=grid&type=item&tracking_id=fca61af9-c77f-46b7-91d5-ed232ac27cff;https://http2.mlstatic.com/D_NQ_NP_940631-MLA54516919074_032023-W.jpg;2023-10-19;;
Lote En Monte Grande;1500000.0;52276;28.69385568903512;Av. Fair 1600, Monte Grande, Esteb...;https://terreno.mercadolibre.com.ar/MLA-934600655-lote-en-monte-grande-_JM#position=21&search_layout=grid&type=item&tracking_id=6e857e44-0342-48e6-aa75-dc59dac96669;https://http2.mlstatic.com/D_NQ_NP_814018-MLA44674576419_012021-W.jpg;2023-10-19;;
Importante Fraccion Sobre Av. Fair - Monte Grande;1500000.0;52275;28.694404591104735;Sobre  Av Fair Cerca Del Arroyo, M...;https://terreno.mercadolibre.com.ar/MLA-1473261330-importante-fraccion-sobre-av-fair-monte-grande-_JM#position=10&search_layout=grid&type=item&tracking_id=5a04b11b-320f-4e9d-a533-bc33b993a718;https://http2.mlstatic.com/D_NQ_NP_882686-MLA71118481263_082023-W.jpg;2023-10-19;;
Lote 12 X 25 Barrio, Monte Grande, Las Marinas;9000.0;300;30.0;4grw+wm Esteban Echeverría, Provin...;https://terreno.mercadolibre.com.ar/MLA-1391278639-lote-12-x-25-barrio-monte-grande-las-marinas-_JM#position=23&search_layout=grid&type=item&tracking_id=9b10ef2e-2220-4118-91bb-f1fa61d08d10;https://http2.mlstatic.com/D_NQ_NP_732692-MLA72335482645_102023-W.jpg;2023-10-19;;
Terreno - Monte Grande;100000.0;3318;30.13863773357444;Lote Con Construcción/casa De Camp...;https://terreno.mercadolibre.com.ar/MLA-1167201217-terreno-monte-grande-_JM#position=29&search_layout=grid&type=item&tracking_id=1b7cae5f-7c17-480f-87a7-64768d8c46d8;https://http2.mlstatic.com/D_NQ_NP_606561-MLA51510949421_092022-W.jpg;2023-10-19;;
Terreno En Venta En  Barrio San Antonio  Canning Village;19400.0;640;30.3125;Barrio San Antonio - Canning Villa...;https://terreno.mercadolibre.com.ar/MLA-1489871764-terreno-en-venta-en-barrio-san-antonio-canning-village-_JM#position=48&search_layout=grid&type=item&tracking_id=c112ea19-8061-4548-be78-cfd9dfc8ba6b;https://http2.mlstatic.com/D_NQ_NP_850409-MLA71388194072_082023-W.jpg;2023-10-19;;
Lote En Canning Village;19350.0;638;30.329153605015673;Barrio San Antonio, Canning Villag...;https://terreno.mercadolibre.com.ar/MLA-1372295191-lote-en-canning-village-_JM#position=8&search_layout=grid&type=item&tracking_id=b5a2d9c6-68cb-4e1a-b49c-899588ae8677;https://http2.mlstatic.com/D_NQ_NP_968104-MLA69806845240_062023-W.jpg;2023-10-19;;
Terreno En Canning Village;18800.0;603;31.177446102819236;Barrio San Antonio, Canning Villag...;https://terreno.mercadolibre.com.ar/MLA-1429093164-terreno-en-canning-village-_JM#position=26&search_layout=grid&type=item&tracking_id=c112ea19-8061-4548-be78-cfd9dfc8ba6b;https://http2.mlstatic.com/D_NQ_NP_769719-MLA69806769384_062023-W.jpg;2023-10-19;;
Lote  San Antonio Canning Ideal Inversor;21500.0;661;32.526475037821484;Barrio San Antonio, Lote Al Agua, ...;https://terreno.mercadolibre.com.ar/MLA-1298846514-lote-san-antonio-canning-ideal-inversor-_JM#position=25&search_layout=grid&type=item&tracking_id=65b5ac88-9222-4f99-a0fe-056526864fad;https://http2.mlstatic.com/D_NQ_NP_838272-MLA54455917117_032023-W.jpg;2023-10-19;;
Terreno En Venta - 661mts2 - Canning Village;24000.0;661;36.30862329803328;Barrio San Antonio, Monte Grande, ...;https://terreno.mercadolibre.com.ar/MLA-1384823129-terreno-en-venta-661mts2-canning-village-_JM#position=47&search_layout=grid&type=item&tracking_id=c112ea19-8061-4548-be78-cfd9dfc8ba6b;https://http2.mlstatic.com/D_NQ_NP_883220-MLA71325914267_082023-W.jpg;2023-10-19;;
 San Antonio, Canning Village;22900.0;600;38.166666666666664;San Antonio, Canning Village, Mont...;https://terreno.mercadolibre.com.ar/MLA-1372308225-san-antonio-canning-village-_JM#position=15&search_layout=grid&type=item&tracking_id=b5a2d9c6-68cb-4e1a-b49c-899588ae8677;https://http2.mlstatic.com/D_NQ_NP_842991-MLA69823371321_062023-W.jpg;2023-10-19;;
 San Antonio, Canning Village;22900.0;600;38.166666666666664;San Antonio, Canning Village, Mont...;https://terreno.mercadolibre.com.ar/MLA-1372231539-san-antonio-canning-village-_JM#position=44&search_layout=grid&type=item&tracking_id=b5a2d9c6-68cb-4e1a-b49c-899588ae8677;https://http2.mlstatic.com/D_NQ_NP_688959-MLA69806670598_062023-W.jpg;2023-10-19;;
